title,price,rate,category
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24$,5,Spirituality
Chasing Heaven: What Dying Taught Me About Living,37.8$,2,Spirituality
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91$,1,Spirituality
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,46.33$,2,Spirituality
A New Earth: Awakening to Your Life's Purpose,55.65$,5,Spirituality
Logan Kade (Fallen Crest High #5.5),13.12$,3,Academic
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35$,1,SelfHelp
How to Be Miserable: 40 Strategies You Already Use,46.03$,1,SelfHelp
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15$,3,SelfHelp
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08$,3,SelfHelp
How to Stop Worrying and Start Living,46.49$,5,SelfHelp
All the Light We Cannot See,29.87$,5,Historical
The Girl You Left Behind (The Girl You Left Behind #1),15.79$,3,Historical
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0$,5,Christian
Crazy Love: Overwhelmed by a Relentless God,47.72$,2,Christian
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,25.77$,1,Christian
Silence in the Dark (Logan Point #4),58.33$,3,Suspense
The Grownup,35.88$,1,ShortStories
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81$,5,Novels
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05$,3,Health
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71$,5,Health
The Art and Science of Low Carbohydrate Living,52.98$,5,Health
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65$,Four,Politics
Amid the Chaos,36.58$,1,Cultural
Dark Notes,19.19$,3,Erotica
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97$,3,Crime
title-0,20.0$,1,Programming
title-1,21.0$,2,Programming
title-2,22.0$,3,Programming
title-3,23.0$,Four,Programming
title-4,24.0$,5,Programming
